"Topic","Prob_Words","FREX_Words"
54,"学生, 教育, 学校, 学习, 大学, 工作, 培养, 教师, 儿童, 人才","学生, 大学, 教师, 大学生, 教学, 学校, 高校, 教育, 课程, 同学"
55,"规定, 管理, 应当, 机构, 部门, 申请, 国务院, 批准, 企业, 经营","申请, 登记, 主管部门, 办理, 条例, 所得, 教育部, 审批, 银行, 药品"
56,"青年, 西藏, 人民, 民族, 祖国, 解放, 少数民族, 全国, 毛主席, 代表","西藏, 青年, 少数民族, 幸福, 基督教, 中央人民政府, 敬礼, 光荣, 藏族, 民族"
57,"革命, 人民, 胜利, 斗争, 伟大, 毛泽东, 中国共产党, 帝国主义, 同志, 领导","革命, 文化大革命, 毛泽东, 革命斗争, 马克思列宁主义, 胜利, 被压迫, 修正主义, 战胜, 伟大"
58,"中日, 友好, 日本, 两国, 日中, 两国人民, 发展, 问题, 中日关系, 和平","中日, 日中, 中日关系, 日方, 邦交, 正常化, 友好, 联合声明, 日本政府, 友好条约"
59,"斗争, 反对, 进行, 政策, 美帝国主义, 世界, 帝国主义, 核武器, 战争, 和平","核武器, 修正主义, 赫鲁晓夫, 禁止, 核试验, 核战争, 原子弹, 氢弹, 国际共产主义运动, 斗争"
60,"台湾, 大陆, 台北, 最近, 报道, 本报讯, 报纸, 消息, 台北市, 新华社","台湾, 台北, 大陆, 本报讯, 台北市, 台币, 台湾人, 台南, 报纸, 最近"
61,"人民, 朝鲜, 两国人民, 同志, 斗争, 美帝国主义, 友谊, 南朝鲜, 社会主义, 团结","金日成, 中朝, 朝鲜, 南朝鲜, 朝鲜劳动党, 朝中, 朝鲜民主主义人民共和国, 两国人民, 平壤, 鲜血"
62,"人民, 斗争, 帝国主义, 支持, 反对, 各国, 民族, 古巴, 独立, 非洲","古巴, 亚非, 拉丁美洲, 殖民主义, 刚果, 阿拉伯, 阿尔及利亚, 非洲, 独立, 帝国主义"
63,"亚洲, 侵略, 美帝国主义, 人民, 美帝, 进行, 集团, 反动派, 阴谋, 南朝鲜","美帝, 亚洲, 反动派, 亚洲各国, 勾结, 傀儡, 加紧, 叫嚷, 反华, 南朝鲜"
64,"合作, 发展, 问题, 对话, 稳定, 重要, 领导人, 战略, 主席, 共同","对话, 欧盟, 会晤, 中欧, 建设性, 杨洁篪, 李肇星, 俄罗斯, 元首, 各方"
65,"福建, 厦门, 福州, 福建省, 渔民, 海上, 海洋, 金门, 沿海, 渔船","渔民, 福州, 厦门, 渔船, 福建, 船员, 泉州, 福建省, 金门, 海上"
66,"一个, 没有, 一位, 看到, 现在, 生活, 一次, 起来, 告诉, 一天","见到, 一位, 心里, 想到, 父亲, 觉得, 告诉, 想起, 母亲, 看见"
67,"照顾, 老人, 孩子, 工作, 丈夫, 生活, 家庭, 汉族, 中国, 全国","丈夫, 老人, 照顾, 妻子, 荣获, 称号, 汉族, 孩子, 手术, 女儿"
68,"当局, 事件, 要求, 巴西, 抗议, 声明, 人员, 立即, 迫害, 英国","巴西, 抗议, 电报, 迫害, 事件, 当局, 逮捕, 无理, 警察, 被捕"
69,"文化, 旅游, 上海, 城市, 文物, 游客, 展览, 成为, 博物馆, 建筑","文物, 博物馆, 世博会, 游客, 画家, 展览, 建筑, 文化遗产, 收藏, 旅游"
70,"经济, 发展, 改革, 问题, 我国, 工作, 企业, 社会, 提高, 必须","改革, 调整, 经济体制, 适应, 搞好, 国民经济, 比较, 积极性, 生产力, 经济效益"
71,"研究, 专家, 我国, 科学, 教授, 学者, 进行, 技术, 学术, 科技","学者, 专家, 研究, 学术, 科学家, 教授, 研究所, 讨论会, 档案, 科学"
72,"妇女, 工人, 工会, 运动, 劳动, 群众, 职工, 宣传, 工作, 组织","妇女, 工会, 工人, 签名, 职工, 劳动, 宣传, 工人阶级, 劳动模范, 妇联"
73,"苏联, 和平, 人民, 世界, 战争, 全世界, 中苏, 国家, 侵略, 民主","苏联, 中苏, 保卫和平, 同盟, 斯大林, 原子武器, 爱好和平, 和平, 全世界, 阵营"
74,"举行, 参加, 群众, 大会, 首都, 游行, 集会, 庆祝, 工人, 今天","游行, 联欢, 集会, 标语, 高呼, 天安门广场, 广场, 欢呼, 节日, 巨幅"
75,"美国, 中美, 问题, 中美关系, 两国, 关系, 双方, 发展, 总统, 会谈","中美, 中美关系, 里根, 美中, 美中关系, 联合公报, 公报, 会谈, 布什, 总统"
76,"台湾, 发言人, 表示, 反对, 问题, 内政, 美方, 外交部, 中国政府, 干涉","发言人, 出售, 外交部, 内政, 美国国会, 损害, 对此, 官方, 美方, 联合公报"
77,"老挝, 印度尼西亚, 印度, 柬埔寨, 缅甸, 国家, 泰国, 政府, 亚洲, 西哈努克","老挝, 印度尼西亚, 西哈努克, 亲王, 缅甸, 柬埔寨, 印度, 中印, 尼赫鲁, 亚非会议"
78,"两岸, 交流, 论坛, 合作, 海峡两岸, 青年, 文化, 活动, 共同, 举办","论坛, 研讨会, 交流, 中华文化, 海峡两岸, 海峡, 联谊, 主办, 创业, 交流活动"
79,"历史, 民族, 中华民族, 世界, 精神, 一个, 伟大, 国家, 人民, 成为","中华民族, 爱国主义, 世纪, 一代, 追求, 近代, 历史, 历程, 智慧, 凝聚力"
80,"华侨, 华人, 海外, 举行, 会长, 祖国, 成立, 总会, 侨胞, 加拿大","华侨, 华人, 归侨, 侨眷, 侨胞, 总会, 致电, 海外, 中国和平统一促进会, 会长"
81,"分子, 反革命, 特务, 集团, 人民, 活动, 进行, 破坏, 蒋帮, 组织","反革命, 分子, 蒋帮, 特务, 间谍, 破坏活动, 右派, 揭发, 谣言, 动乱"
82,"越南, 人民, 南方, 美帝国主义, 印度支那, 越南民主共和国, 民族, 南越, 战争, 美国","越南, 南方, 越南民主共和国, 印度支那, 南越, 解放阵线, 河内, 北方, 走狗, 抗美"
83,"一个, 台湾, 台湾当局, 原则, 李登辉, 两个, 政治, 坚持, 承认, 国际","李登辉, 台湾当局, 一中一台, 两国论, 访美, 台湾独立, 中华民国, 承认, 原则, 谈判"
84,"记者, 北京, 日电, 本报, 新华社, 报道, 今天, 采访, 新闻, 举行","记者, 本报, 采访, 日电, 近日, 报道, 北京, 中外记者, 提问, 新闻"
85,"先生, 孙中山, 纪念, 革命, 逝世, 参加, 辛亥革命, 宋庆龄, 周年, 中山","孙中山, 先生, 逝世, 辛亥革命, 宋庆龄, 中山, 一生, 诞辰, 纪念, 哀悼"
86,"没有, 问题, 一个, 这种, 现在, 认为, 不能, 应该, 已经, 可能","是否, 一点, 有人, 一种, 应该, 事情, 容易, 没有, 确实, 很多"
87,"参加, 体育, 国际, 运动员, 比赛, 北京, 举办, 奥运会, 全国, 举行","比赛, 运动员, 亚运会, 选手, 体育, 乒乓球, 奥运会, 奥运, 交易会, 展览会"
88,"台独, 分裂, 陈水扁, 势力, 活动, 反对, 台湾, 社会, 稳定, 所谓","台独, 陈水扁, 公投, 分裂, 行径, 势力, 民进党, 顽固, 言论, 对抗"
89,"工作, 法律, 监督, 加强, 制度, 立法, 依法, 案件, 司法, 常委会","立法, 常委会, 司法, 监督, 案件, 法院, 人大, 依法, 审判, 法律"
90,"美国, 蒋介石, 军事, 集团, 进行, 美军, 匪帮, 飞机, 计划, 活动","菲律宾, 美军, 舰队, 匪帮, 透露, 蒋军, 麦克阿瑟, 飞机, 军事援助, 基地"
91,"单位, 作者, 项目, 编辑, 发布, 题目, 新闻, 媒体, 广播, 集体","作者, 编辑, 单位, 题目, 发布, 标题, 广播, 电视台, 媒体, 项目"
92,"两岸, 大陆, 台商, 方面, 投资, 交流, 问题, 协议, 三通, 两会","台商, 两会, 三通, 包机, 台资, 直航, 海基会, 两岸, 商谈, 海协"
93,"朝鲜, 美国, 人民, 侵略, 战争, 和平, 侵略者, 军队, 中国人民志愿军, 志愿军","朝鲜, 志愿军, 朝鲜战争, 中国人民志愿军, 朝鲜人民军, 杜鲁门, 李承晚, 停战协定, 侵朝, 侵略者"
